token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
1,INF209K01BT5,Growth,Aditya Birla SL Equity Hybrid `95 Fund (G),Regular,BAG,1435.56,-0.89,-0.06,100.00,ANNUAL,7th February 2025
2,INF209K01BS7,Dividend - Payout,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BA-DP,174.86,-0.10,-0.06,100.00,INTERIM,7th February 2025
2,INF209K01EE1,Dividend - Reinvest,Aditya Birla SL Equity Hybrid `95 Fund (IDCW),Regular,BA-DR,174.86,-0.10,-0.06,100.00,INTERIM,7th February 2025
7,INF209K01090,Dividend - Payout,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,02-DP,193.59,-0.03,-0.02,500.00,,7th February 2025
7,INF209K01CB1,Dividend - Reinvest,Aditya Birla SL ELSS Tax Saver Fund (IDCW),Regular,BSL02D-DR,193.59,-0.03,-0.02,500.00,,7th February 2025
8,INF209K01LQ0,Growth,Aditya Birla SL Low Duration Fund (G),Regular,BSL43N-GR,636.6253,-0.02,0.00,100.00,,7th February 2025
9,INF209K01AJ8,Growth,Aditya Birla SL Flexi Cap Fund (G),Regular,51,1652.28,1.74,0.11,100.00,,7th February 2025
10,INF209K01AQ3,Dividend - Payout,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,52-DP,151.51,0.16,0.11,100.00,HALF YEARLY,7th February 2025
10,INF209K01DT1,Dividend - Reinvest,Aditya Birla SL Flexi Cap Fund (IDCW),Regular,BSL52D-DR,151.51,0.16,0.11,100.00,HALF YEARLY,7th February 2025
15,INF209K01785,Growth,Aditya Birla SL Corporate Bond Fund (G),Regular,B32,108.938,-0.09,-0.08,100.00,,7th February 2025
19,INF209K01140,Growth,Aditya Birla SL Digital India Fund (G),Regular,B16,180.77,0.17,0.09,1000.00,,7th February 2025
20,INF209K01132,Dividend - Payout,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DP,47.81,0.05,0.10,1000.00,ANNUAL,7th February 2025
20,INF209K01CD7,Dividend - Reinvest,Aditya Birla SL Digital India Fund (IDCW),Regular,B15-DR,47.81,0.05,0.10,1000.00,ANNUAL,7th February 2025
23,INF209K01ME4,Growth,Aditya Birla SL Liquid Fund - Retail (G),Regular,BSL501G-GR,664.8062,0.38,0.06,10000.00,,9th February 2025
26,INF209K01AC3,Growth,Aditya Birla SL Govt Securities Fund (G),Regular,B402AG,78.8024,-0.27,-0.34,1000.00,,7th February 2025
26,INF209K01AD1,Growth,Aditya Birla SL Govt Securities Fund (G),Regular,B402IG,78.8024,-0.27,-0.34,1000.00,,7th February 2025
